X,Y,Z,rX,rY,rZ,empty
8259229.000,430.000,300.000,400.000,0.000,90.000,90.000,
8259255.000,430.000,300.000,400.000,0.000,90.000,90.000,
8259273.000,430.000,300.000,400.000,0.000,90.000,90.000,
8259297.000,430.000,300.000,400.000,0.000,90.000,90.000,
8259324.000,430.000,299.995,400.000,0.000,90.000,90.000,
8259391.000,430.046,296.572,400.020,178.505,89.999,89.999,
8259426.000,430.359,284.243,400.142,178.109,89.991,89.991,
8259454.000,430.747,262.578,400.251,177.891,89.976,89.976,
8259483.000,430.830,235.035,400.197,177.769,89.960,89.960,
8259510.000,430.872,203.018,400.093,178.053,89.937,89.937,
8259538.000,430.902,179.017,399.993,178.630,89.911,89.911,
8259566.000,430.939,143.041,399.772,-179.758,89.843,89.843,
8259598.000,430.932,115.343,399.487,-177.655,89.742,89.742,
8259630.000,430.712,90.222,399.271,-174.780,89.671,89.671,
8259656.000,430.377,69.884,399.320,-171.278,89.704,89.704,
8259685.000,430.177,55.271,399.467,-167.602,89.769,89.769,
8259714.000,430.097,44.917,399.576,-164.309,89.814,89.814,
8259739.000,430.061,38.138,399.667,-162.408,89.853,89.853,
8259766.000,430.035,31.065,399.777,-162.958,89.902,89.902,
8259796.000,430.026,26.764,399.825,-167.024,89.924,89.924,
8259823.000,430.022,22.922,399.848,-174.526,89.936,89.936,
8259845.000,430.022,19.249,399.852,175.954,89.937,89.937,
8259870.000,430.024,15.507,399.838,167.398,89.930,89.930,
8259892.000,430.032,10.703,399.792,161.428,89.908,89.908,
8259919.000,430.048,5.817,399.721,159.950,89.875,89.875,
8259943.000,430.075,-0.155,399.627,160.979,89.834,89.834,
8259969.000,430.132,-9.126,399.512,163.872,89.786,89.786,
8259999.000,430.238,-19.467,399.390,166.982,89.736,89.736,
8260023.000,430.506,-36.298,399.227,170.774,89.668,89.668,
8260047.000,430.790,-55.153,399.235,173.762,89.667,89.667,
8260073.000,430.950,-77.184,399.431,176.291,89.740,89.740,
8260097.000,430.963,-100.877,399.663,178.309,89.824,89.824,
8260121.000,430.942,-124.835,399.825,179.814,89.878,89.878,
8260145.000,430.916,-148.812,399.943,-179.084,89.911,89.911,
8260171.000,430.874,-180.804,400.064,-178.124,89.940,89.940,
8260199.000,430.839,-204.810,400.139,-177.739,89.955,89.955,
8260224.000,430.802,-228.824,400.204,-177.612,89.967,89.967,
8260247.000,430.762,-252.806,400.259,-177.721,89.976,89.976,
8260272.000,430.555,-274.434,400.225,-177.936,89.987,89.987,
8260298.000,430.159,-291.536,400.072,-178.201,89.997,89.997,
8260324.000,430.010,-298.694,400.004,0.000,90.000,90.000,
8260347.000,429.999,-299.999,399.999,0.000,90.000,90.000,
8260371.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260399.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260422.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260444.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260469.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260489.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260514.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260540.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260564.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260594.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260616.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260638.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260662.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260687.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260713.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260733.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260767.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260787.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260811.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260834.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260860.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260881.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260905.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260928.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260952.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8260978.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261004.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261026.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261048.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261073.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261099.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261121.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261145.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261169.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261195.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261220.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261246.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261267.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261291.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261315.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261337.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261363.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261389.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261412.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261436.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261459.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261486.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261506.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261529.000,430.000,-300.000,400.000,0.000,90.000,90.000,
8261553.000,430.000,-299.959,400.000,0.000,90.000,90.000,
8261621.000,430.104,-293.775,400.048,-178.338,89.998,89.998,
8261653.000,430.473,-278.512,400.197,-177.993,89.989,89.989,
8261686.000,430.757,-254.262,400.261,-177.739,89.977,89.977,
8261712.000,430.806,-226.306,400.197,-177.614,89.966,89.966,
8261739.000,430.848,-198.292,400.120,-177.817,89.951,89.951,
8261767.000,430.894,-166.289,400.013,-178.490,89.928,89.928,
8261799.000,430.928,-138.304,399.895,-179.518,89.898,89.898,
8261829.000,430.956,-110.341,399.735,178.964,89.849,89.849,
8261857.000,430.967,-82.480,399.484,176.793,89.759,89.759,
8261887.000,430.809,-56.350,399.237,173.919,89.667,89.667,
8261916.000,430.473,-34.479,399.243,170.433,89.675,89.675,
8261942.000,430.218,-18.226,399.416,166.656,89.747,89.747,
8261968.000,430.105,-5.519,399.557,162.685,89.805,89.805,
8261998.000,430.066,1.523,399.652,160.539,89.845,89.845,
8262023.000,430.043,7.182,399.741,160.042,89.884,89.884,
8262049.000,430.030,11.848,399.806,162.347,89.914,89.914,
8262074.000,430.024,15.876,399.840,168.099,89.931,89.931,
8262098.000,430.022,20.212,399.853,178.491,89.938,89.938,
8262121.000,430.023,23.904,399.844,-172.265,89.934,89.934,
8262145.000,430.028,27.834,399.815,-165.619,89.920,89.920,
8262171.000,430.041,33.134,399.747,-162.254,89.888,89.888,
8262201.000,430.069,39.751,399.644,-162.769,89.843,89.843,
8262228.000,430.111,46.967,399.550,-164.970,89.803,89.803,
8262250.000,430.191,56.336,399.448,-167.901,89.760,89.760,
8262275.000,430.365,69.002,399.319,-171.080,89.704,89.704,
8262301.000,430.641,85.826,399.263,-174.138,89.671,89.671,
8262324.000,430.872,106.365,399.400,-176.766,89.713,89.713,
8262348.000,430.946,129.420,399.646,-178.838,89.799,89.799,
8262372.000,430.921,161.346,399.898,179.298,89.884,89.884,
8262404.000,430.894,185.338,400.021,178.447,89.919,89.919,
8262426.000,430.864,209.343,400.116,177.956,89.942,89.942,
8262450.000,430.832,233.356,400.192,177.771,89.959,89.959,
8262476.000,430.783,257.207,400.250,177.844,89.972,89.972,
8262500.000,430.514,277.789,400.195,178.018,89.986,89.986,
8262525.000,430.120,293.380,400.051,178.262,89.997,89.997,
8262549.000,430.004,299.236,400.002,0.000,90.000,90.000,
8262576.000,430.000,300.000,400.000,0.000,90.000,90.000,
8262604.000,430.000,300.000,400.000,0.000,90.000,90.000,
8262624.000,430.000,300.000,400.000,0.000,90.000,90.000,
8262648.000,430.000,300.000,400.000,0.000,90.000,90.000,
8262671.000,430.000,300.000,400.000,0.000,90.000,90.000,
8262695.000,430.000,300.000,400.000,0.000,90.000,90.000,
8262715.000,430.000,300.000,400.000,0.000,90.000,90.000,
8262740.000,430.000,300.000,400.000,0.000,90.000,90.000,
