J1,J2,J3,J4,J5,J6,empty
8802119.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802121.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802123.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802126.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802128.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802131.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802133.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802136.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802138.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802139.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8802157.000,42.892,-4.417,94.266,-89.837,42.892,89.777,
8802160.000,42.892,-4.417,94.266,-89.837,42.892,89.777,
8802162.000,42.892,-4.417,94.266,-89.837,42.892,89.777,
8802164.000,42.892,-4.417,94.266,-89.837,42.892,89.777,
8802167.000,42.892,-4.417,94.266,-89.837,42.892,89.777,
8802169.000,42.892,-4.417,94.266,-89.837,42.892,89.777,
8802172.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8802174.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8802176.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8802179.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8802181.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8802183.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8802186.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8802203.000,42.878,-4.431,94.278,-89.836,42.879,89.776,
8802204.000,42.878,-4.431,94.278,-89.836,42.879,89.776,
8802205.000,42.878,-4.431,94.278,-89.836,42.879,89.776,
8802206.000,42.878,-4.431,94.278,-89.836,42.879,89.776,
8802207.000,42.878,-4.431,94.278,-89.836,42.879,89.776,
8802208.000,42.878,-4.431,94.278,-89.836,42.879,89.776,
8802209.000,42.878,-4.431,94.278,-89.836,42.879,89.776,
8802220.000,42.870,-4.440,94.287,-89.835,42.870,89.775,
