X,Y,Z,rX,rY,rZ,empty
8802100.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802102.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802104.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802107.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802111.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802114.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802116.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802118.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802121.000,430.000,300.000,400.000,0.000,89.999,89.999,
8802125.000,430.000,300.000,400.000,0.000,90.000,90.000,
8802127.000,430.000,300.000,400.000,0.000,90.000,90.000,
8802129.000,430.000,300.000,400.000,0.000,90.000,90.000,
8802132.000,430.000,300.000,400.000,0.000,90.000,90.000,
8802134.000,430.000,300.000,400.000,0.000,90.000,90.000,
8802136.000,430.000,300.000,400.000,0.000,90.000,90.000,
8802140.000,430.000,299.985,400.000,0.000,90.000,90.000,
8802141.000,430.000,299.985,400.000,0.000,90.000,90.000,
8802142.000,430.000,299.985,400.000,0.000,90.000,90.000,
8802143.000,430.000,299.985,400.000,0.000,90.000,90.000,
8802144.000,430.000,299.985,400.000,0.000,90.000,90.000,
8802157.000,430.000,299.962,400.000,0.000,89.999,89.999,
8802159.000,430.000,299.962,400.000,0.000,89.999,89.999,
8802161.000,430.000,299.962,400.000,0.000,89.999,89.999,
8802164.000,430.000,299.962,400.000,0.000,89.999,89.999,
8802166.000,430.000,299.962,400.000,0.000,89.999,89.999,
8802169.000,430.000,299.962,400.000,0.000,89.999,89.999,
8802173.000,430.000,299.931,400.000,0.000,90.000,90.000,
8802175.000,430.000,299.931,400.000,0.000,90.000,90.000,
8802178.000,430.000,299.931,400.000,0.000,90.000,90.000,
8802181.000,430.000,299.931,400.000,0.000,90.000,90.000,
8802183.000,430.000,299.931,400.000,0.000,90.000,90.000,
8802203.000,430.000,299.828,400.000,0.000,90.000,90.000,
8802204.000,430.000,299.828,400.000,0.000,90.000,90.000,
8802205.000,430.000,299.828,400.000,0.000,90.000,90.000,
8802206.000,430.000,299.828,400.000,0.000,90.000,90.000,
8802207.000,430.000,299.828,400.000,0.000,90.000,90.000,
8802209.000,430.000,299.828,400.000,0.000,90.000,90.000,
8802220.000,430.000,299.742,400.000,0.000,90.000,90.000,
8802222.000,430.000,299.742,400.000,0.000,90.000,90.000,
8802225.000,430.000,299.742,400.000,0.000,90.000,90.000,
8802228.000,430.000,299.742,400.000,0.000,90.000,90.000,
8802230.000,430.000,299.742,400.000,0.000,90.000,90.000,
8802235.000,430.000,299.742,400.000,0.000,90.000,90.000,
8802236.000,430.000,299.611,400.000,0.000,90.000,90.000,
8802237.000,430.000,299.611,400.000,0.000,90.000,90.000,
8802238.000,430.000,299.611,400.000,0.000,90.000,90.000,
8802239.000,430.000,299.611,400.000,0.000,90.000,90.000,
8802251.000,430.000,299.461,400.000,0.000,90.000,90.000,
8802254.000,430.000,299.461,400.000,0.000,90.000,90.000,
8802256.000,430.000,299.461,400.000,0.000,90.000,90.000,
8802260.000,430.000,299.461,400.000,0.000,90.000,90.000,
8802262.000,430.000,299.461,400.000,0.000,90.000,90.000,
8802281.000,430.000,298.917,400.000,0.000,90.000,90.000,
8802284.000,430.000,298.917,400.000,0.000,90.000,90.000,
8802287.000,430.000,298.917,400.000,0.000,90.000,90.000,
8802290.000,430.000,298.917,400.000,0.000,90.000,90.000,
8802293.000,430.000,298.917,400.000,0.000,90.000,90.000,
8802297.000,430.000,298.462,400.000,0.000,90.000,90.000,
8802314.000,430.000,297.828,400.000,0.000,90.000,90.000,
8802317.000,430.000,297.828,400.000,0.000,90.000,90.000,
8802319.000,430.000,297.828,400.000,0.000,90.000,90.000,
8802321.000,430.000,297.828,400.000,0.000,90.000,90.000,
8802324.000,430.000,297.828,400.000,0.000,90.000,90.000,
8802329.000,430.000,296.948,400.000,0.000,89.999,89.999,
8802331.000,430.000,296.948,400.000,0.000,89.999,89.999,
8802333.000,430.000,296.948,400.000,0.000,89.999,89.999,
8802336.000,430.000,296.948,400.000,0.000,89.999,89.999,
8802338.000,430.000,296.948,400.000,0.000,89.999,89.999,
