J1,J2,J3,J4,J5,J6,empty
8258616.000,-1.580,-22.923,108.897,20.751,4.390,-20.695,
8258643.000,-0.798,-22.895,108.879,10.887,4.157,-10.859,
8258664.000,0.042,-22.855,108.853,-0.617,4.063,0.616,
8258690.000,0.757,-22.814,108.826,-10.477,4.121,10.451,
8258715.000,1.518,-22.761,108.792,-20.338,4.314,20.286,
8258737.000,2.383,-22.691,108.746,-30.194,4.678,30.112,
8258764.000,3.617,-22.572,108.667,-41.487,5.396,41.364,
8258791.000,5.208,-22.385,108.544,-52.082,6.542,51.908,
8258818.000,7.001,-22.129,108.374,-60.279,8.010,60.051,
8258842.000,9.394,-21.705,108.089,-67.491,10.127,67.198,
8258867.000,12.509,-21.019,107.623,-73.610,13.013,73.246,
8258891.000,16.195,-20.028,106.936,-78.481,16.521,78.053,
8258917.000,20.160,-18.736,106.020,-82.075,20.359,81.607,
8258941.000,24.687,-16.921,104.694,-84.874,24.793,84.402,
8258970.000,29.472,-14.530,102.873,-86.916,29.521,86.493,
8258997.000,32.780,-12.547,101.297,-87.961,32.806,87.606,
8259023.000,35.852,-10.422,99.544,-88.721,35.864,88.447,
8259047.000,38.659,-8.213,97.651,-89.257,38.664,89.068,
8259071.000,40.847,-6.331,95.995,-89.593,40.848,89.472,
8259097.000,42.214,-5.078,94.871,-89.768,42.215,89.688,
8259121.000,42.819,-4.491,94.334,-89.830,42.819,89.769,
8259147.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259170.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259196.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259219.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259241.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259264.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259286.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259311.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8259338.000,42.835,-4.474,94.319,-89.832,42.835,89.771,
8259405.000,41.931,-5.344,95.112,-89.735,41.931,89.647,
8259440.000,40.008,-7.067,96.647,-89.472,40.011,89.324,
8259470.000,37.026,-9.530,98.788,-88.962,37.034,88.722,
8259496.000,33.528,-12.056,100.899,-88.164,33.549,87.827,
8259526.000,29.711,-14.397,102.769,-87.000,29.758,86.582,
8259556.000,24.323,-17.082,104.814,-84.688,24.435,84.213,
8259587.000,19.767,-18.875,106.120,-81.772,19.976,81.306,
8259615.000,15.156,-20.326,107.144,-77.275,15.525,76.863,
8259643.000,11.056,-21.357,107.853,-71.070,11.654,70.737,
8259671.000,7.862,-21.988,108.279,-63.280,8.755,63.027,
8259701.000,5.592,-22.335,108.511,-54.128,6.844,53.942,
8259726.000,3.911,-22.540,108.646,-43.742,5.593,43.610,
8259754.000,2.613,-22.670,108.732,-32.539,4.797,32.450,
8259784.000,1.711,-22.746,108.782,-22.682,4.384,22.623,
8259808.000,0.932,-22.802,108.819,-12.818,4.154,12.785,
8259833.000,0.092,-22.853,108.852,-1.313,4.063,1.310,
8259856.000,-0.623,-22.888,108.874,8.547,4.123,-8.525,
8259882.000,-1.386,-22.917,108.893,18.407,4.320,-18.358,
8259908.000,-2.254,-22.940,108.908,28.263,4.688,-28.184,
8259929.000,-3.299,-22.952,108.917,37.981,5.287,-37.865,
8259957.000,-5.104,-22.937,108.907,50.180,6.575,-50.000,
8259985.000,-6.925,-22.872,108.864,58.408,8.067,-58.166,
8260010.000,-9.371,-22.703,108.753,65.668,10.231,-65.346,
8260035.000,-12.579,-22.344,108.515,71.863,13.200,-71.445,
8260059.000,-16.398,-21.731,108.105,76.834,16.827,-76.320,
8260085.000,-20.528,-20.837,107.496,80.553,20.813,-79.959,
8260114.000,-25.263,-19.460,106.536,83.514,25.436,-82.872,
8260131.000,-29.074,-18.030,105.510,85.278,29.184,-84.638,
8260157.000,-33.209,-16.104,104.081,86.788,33.270,-86.198,
8260187.000,-36.484,-14.257,102.659,87.754,36.518,-87.240,
8260212.000,-39.514,-12.252,101.058,88.493,39.532,-88.075,
8260236.000,-42.310,-10.109,99.280,89.048,42.319,-88.737,
8260262.000,-45.200,-7.565,97.084,89.499,45.202,-89.305,
8260286.000,-46.962,-5.869,95.582,89.724,46.963,-89.602,
8260310.000,-47.985,-4.819,94.635,89.833,47.986,-89.751,
8260333.000,-48.341,-4.433,94.280,89.864,48.341,-89.795,
8260359.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260387.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260411.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260433.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260453.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260477.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260501.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260526.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260552.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260578.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260606.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260626.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260650.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260675.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260699.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260724.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260750.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260771.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260798.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260822.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260846.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260871.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260893.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260918.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260940.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260964.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8260992.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261014.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261038.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261063.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261087.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261110.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261133.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261157.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261181.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261209.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261232.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261258.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261279.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261303.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261327.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261349.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261373.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261402.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261428.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261448.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261472.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261494.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261518.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261540.000,-48.358,-4.413,94.262,89.865,48.359,-89.797,
8261611.000,-48.198,-4.590,94.426,89.852,48.199,-89.779,
8261639.000,-47.045,-5.786,95.508,89.733,47.046,-89.615,
8261670.000,-44.969,-7.779,97.272,89.467,44.972,-89.264,
8261698.000,-42.028,-10.339,99.475,88.997,42.037,-88.675,
8261726.000,-38.715,-12.811,101.510,88.312,38.736,-87.867,
8261754.000,-35.079,-15.087,103.304,87.362,35.124,-86.812,
8261785.000,-30.513,-17.407,105.054,85.844,30.603,-85.217,
8261817.000,-26.155,-19.152,106.318,83.966,26.311,-83.321,
8261843.000,-21.476,-20.594,107.328,81.237,21.735,-80.630,
8261871.000,-16.634,-21.686,108.074,77.076,17.053,-76.557,
8261899.000,-12.195,-22.394,108.549,71.245,12.840,-70.839,
8261927.000,-8.623,-22.766,108.794,63.799,9.555,-63.500,
8261957.000,-6.076,-22.909,108.889,54.987,7.353,-54.773,
8261983.000,-4.230,-22.951,108.916,44.893,5.919,-44.743,
8262014.000,-3.006,-22.950,108.915,35.480,5.105,-35.374,
8262035.000,-1.864,-22.931,108.903,24.040,4.506,-23.975,
8262061.000,-1.049,-22.905,108.886,14.174,4.217,-14.137,
8262086.000,-0.313,-22.873,108.865,4.312,4.082,-4.301,
8262110.000,0.397,-22.836,108.840,-5.547,4.076,5.534,
8262133.000,1.129,-22.789,108.810,-15.408,4.199,15.369,
8262159.000,1.933,-22.729,108.770,-25.269,4.472,25.203,
8262187.000,3.234,-22.611,108.693,-38.310,5.153,38.199,
8262214.000,4.472,-22.476,108.604,-47.657,5.989,47.506,
8262238.000,6.043,-22.272,108.469,-56.298,7.208,56.099,
8262264.000,8.110,-21.944,108.250,-64.013,8.975,63.754,
8262289.000,11.396,-21.281,107.802,-71.704,11.970,71.363,
8262313.000,14.919,-20.393,107.191,-77.000,15.298,76.592,
8262335.000,18.831,-19.197,106.350,-81.016,19.066,80.558,
8262363.000,22.783,-17.733,105.293,-83.828,22.923,83.351,
8262390.000,27.133,-15.765,103.824,-86.008,27.206,85.554,
8262415.000,30.601,-13.886,102.368,-87.302,30.641,86.899,
8262439.000,34.345,-11.501,100.443,-88.372,34.363,88.056,
8262464.000,37.301,-9.314,98.603,-89.015,37.309,88.784,
8262490.000,39.857,-7.198,96.762,-89.449,39.860,89.297,
8262515.000,41.630,-5.623,95.362,-89.697,41.631,89.600,
8262537.000,42.608,-4.700,94.526,-89.810,42.608,89.743,
8262562.000,42.889,-4.420,94.269,-89.836,42.889,89.777,
8262588.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8262614.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8262636.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8262660.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8262683.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8262705.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8262729.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
8262753.000,42.896,-4.413,94.262,-89.837,42.896,89.778,
